DEPTH,GR,PE,SP,CAL,AC,DEN,CNL,RXO,RT,QT,DEVI,AZIM,BIT,CASE,SH,CARB,POR,PERM,SXO,SW,SOG,LAYER,RESULT,WELL_NAME,cluster_label
2096.5,109.605,1.095,73.928,33.568,266.963,1.909,43.326,8.14,12.214,0.025,0.202,92.287,21.59,,64.366,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2096.6,109.285,1.086,73.921,34.473,270.289,1.929,41.702,8.346,12.805,0.024,0.204,92.306,21.59,,63.746,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2096.7,109.247,1.004,73.871,34.164,271.018,1.95,38.015,8.982,14.042,0.024,0.195,90.094,21.59,,63.548,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2096.8,103.706,0.944,73.73,32.274,266.926,1.969,31.757,10.044,15.833,0.023,0.179,81.177,21.59,,59.597,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2096.9,100.865,0.913,73.489,29.72,260.165,1.979,25.235,11.358,17.757,0.022,0.184,77.609,21.59,,53.078,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2097.0,100.416,0.922,73.105,26.766,252.345,1.987,20.867,12.842,19.612,0.022,0.204,77.571,21.59,,50.529,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2097.1,102.067,0.985,72.621,24.227,245.204,1.994,18.49,14.343,21.121,0.02,0.224,78.662,21.59,,51.882,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2097.2,105.555,1.153,72.158,23.48,240.64,1.998,17.693,15.632,21.925,0.019,0.228,77.93,21.59,,55.786,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2097.3,107.584,1.31,71.596,24.177,239.704,2.002,17.816,16.064,21.263,0.018,0.215,74.879,21.59,,59.623,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2097.4,110.317,1.406,71.043,24.961,240.068,2.007,18.913,16.369,20.503,0.017,0.202,71.153,21.59,,62.929,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
